Parasite	SP - Flow 1	SP - Flow 2	SP - Average 	MR - Flow 1	MR - Flow 2	MR - Average 	SR - Flow 1	SR - Flow 2	SR - Average 	PR - Flow 1	PR - Flow 2	PR - Average 
0	586	495	540.5	939	920	929.5	942	940	941	941	940	940.5
100	483	401	442	827	941	884	828	941	884.5	839	940	889.5
200	391	368	379.5	741	941	841	729	941	835	739	941	840
300	344	310	327	644	941	792.5	937	920	928.5	642	940	791
400	273	283	278	539	941	740	931	922	926.5	541	921	731
500	244	246	245	939	941	940	941	919	930	905	919	912
600	169	177	173	941	940	940.5	925	930	927.5	938	940	939
700	115	120	117.5	905	919	912	931	933	932	941	919	930
800	67.9	58	62.95	938	940	939	941	923	932	941	921	931
900	25.3	31	28.15	941	919	930	912	919	915.5	905	919	912
1000	2	1	1.5	941	921	931	925	935	930	938	940	939
